ORDER_ID,CUSTOMER_NAME,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0092,David Fourie,Coffee Mug,Home,5,700,3500
O0093,Sarah Pretorius,Wireless Earbuds,Electronics,2,586,1172
O0094,Lerato Fourie,Cap,Fashion,4,392,1568
O0095,Karabo Nkosi,Moisturizer,Beauty,5,684,3420
O0096,Naledi Dlamini,Cap,Fashion,5,392,1960
O0097,Naledi Fourie,Perfume,Beauty,2,890,1780
O0098,Lerato Mokoena,Shampoo,Beauty,3,624,1872
O0099,David Mbeki,Desk Lamp,Home,3,88,264
O0100,Fatima Sithole,Moisturizer,Beauty,2,684,1368
O0101,Kagiso Naidoo,Cap,Fashion,3,392,1176
O0102,Naledi Ndlovu,Storage Box,Home,3,873,2619
O0103,Ayanda Coetzee,Power Bank,Electronics,2,358,716
O0104,David Fourie,Backpack,Fashion,2,450,900
O0105,Sipho Ndlovu,Throw Blanket,Home,4,739,2956
O0106,Chloe Dlamini,Sneakers,Fashion,4,155,620
O0107,Chloe Dlamini,Wireless Earbuds,Electronics,4,586,2344
O0108,Kagiso Van der Merwe,Lip Balm,Beauty,1,1068,1068
O0109,David Mbeki,Lip Balm,Beauty,4,1068,4272
O0110,Zanele Nkosi,Denim Jacket,Fashion,4,115,460
O0111,Chloe Dlamini,Perfume,Beauty,5,890,4450
O0112,Lerato Khumalo,Desk Lamp,Home,2,88,176
O0113,Kagiso Naidoo,Sunglasses,Fashion,1,656,656
O0114,Kagiso Van der Merwe,Sneakers,Fashion,4,155,620
O0115,Johan Mahlangu,Coffee Mug,Home,4,700,2800
O0116,Kagiso Dlamini,Face Mask,Beauty,1,725,725
O0117,Pieter Botha,Lip Balm,Beauty,1,1068,1068
O0118,David Fourie,Sunglasses,Fashion,4,656,2624
O0119,Aisha Fourie,Wireless Earbuds,Electronics,4,586,2344
O0120,Naledi Dlamini,Throw Blanket,Home,3,739,2217
O0121,Kagiso Mbeki,Backpack,Fashion,4,450,1800
O0122,Naledi Coetzee,Power Bank,Electronics,1,358,358
O0123,Lerato Mokoena,Perfume,Beauty,3,890,2670
O0124,David Fourie,Power Bank,Electronics,1,358,358
O0125,David Mbeki,Bluetooth Speaker,Electronics,2,1088,2176
O0126,Zanele Mbeki,Bluetooth Speaker,Electronics,2,1088,2176
O0127,Naledi Ndlovu,Smart Watch,Electronics,1,104,104
O0128,Zanele Mokoena,Throw Blanket,Home,3,739,2217
O0129,Fatima Sithole,Denim Jacket,Fashion,5,115,575
O0130,Lerato Khumalo,USB-C Cable,Electronics,2,152,304
O0131,Sipho Els,USB-C Cable,Electronics,1,152,152
O0132,Sipho Els,Lip Balm,Beauty,4,1068,4272
O0133,Pieter Botha,Throw Blanket,Home,5,739,3695
O0134,Grace Van der Merwe,Desk Lamp,Home,3,88,264
O0135,Fatima Botha,Face Mask,Beauty,1,725,725
O0136,Zanele Mokoena,Wireless Earbuds,Electronics,5,586,2930
O0137,Naledi Fourie,Denim Jacket,Fashion,5,115,575
O0138,Michael Mbeki,Sneakers,Fashion,4,155,620
O0139,Zanele Dlamini,USB-C Cable,Electronics,3,152,456
O0140,Nomvula Ndlovu,Cap,Fashion,2,392,784
O0141,Naledi Fourie,Coffee Mug,Home,5,700,3500
O0142,Michael Mbeki,Storage Box,Home,5,873,4365
O0143,Fatima Sithole,Shampoo,Beauty,4,624,2496
O0144,Johan Mahlangu,Lip Balm,Beauty,3,1068,3204
O0145,Naledi Ndlovu,Power Bank,Electronics,4,358,1432
O0146,Naledi Ndlovu,Cap,Fashion,5,392,1960
O0147,Karabo Nkosi,Backpack,Fashion,1,450,450
O0148,Zanele Dlamini,Sneakers,Fashion,4,155,620
O0149,Ayanda Mokoena,Denim Jacket,Fashion,3,115,345
O0150,Kagiso Mbeki,Storage Box,Home,5,873,4365
